token_index,valuation
0,23.38631
1,4.525596
2,93.833595
3,55.56724
4,86.9688
5,55.513588
6,82.166145
7,40.864914
8,42.039085
9,39.652645
10,41.607693
11,54.278076
12,37.098434
13,51.33472
14,2.4594364
15,85.11803
16,53.468685
17,47.118587
18,47.621048
19,44.212032
20,67.60718
21,45.58079
22,112.07044
23,36.32578
24,56.118675
25,90.54552
26,57.14854
27,43.55063
28,45.20313
29,53.391144
30,40.593773
31,56.219864
32,52.613106
33,80.471436
34,42.536087
35,62.11253
36,54.12667
37,45.59703
38,42.257862
39,42.5745
40,53.02846
41,48.880688
42,75.77033
43,57.41537
44,63.384388
45,56.0762
46,53.42354
47,61.90623
48,43.60245
49,44.21941
50,37.340153
51,79.55815
52,45.56799
53,95.09703
54,127.230415
55,50.06074
56,66.22506
57,65.92637
58,161.26274
59,64.75006
60,42.51892
61,52.642807
62,36.29162
63,39.432518
64,66.621
65,57.103893
66,41.69017
67,57.300743
68,42.87382
69,56.012062
70,60.24848
71,40.142715
72,46.369514
73,65.248474
74,28.67872
75,42.375874
76,42.12265
77,25.786674
78,63.92476
79,31.80021
80,57.268105
81,43.423546
82,55.810535
83,38.2851
84,47.83689
85,55.51679
86,0.051235724
87,91.80854
88,46.47669
89,19.676273
90,218.28246
91,31.1776
92,54.561195
93,0.2185084
94,0.10726068
95,54.142532
96,0.19071198
97,91.70983
98,0.10787056
99,165.78963
100,42.286
101,70.43271
102,0.09436368
103,0.09775831
104,0.10959869
105,0.34406376
106,0.2613614
107,0.16589104
108,73.05894
109,0.08458345
110,0.09268719
111,0.04258405
112,0.057010908
113,54.22194
114,0.21716824
115,0.13134727
116,2.352271
117,855.5885
118,20.714628
119,0.06850637
120,0.053503495
121,0.13816735
122,0.107885934
123,0.07225533
124,18.924126
125,0.053340618
126,43.24413
127,0.0853806
128,0.052592196
129,0.0645169
130,0.35127074
131,0.12231524
132,0.31195354
133,34.416607
134,0.053158876
135,0.21347247
136,0.08571963
137,0.30013946
138,57.739147
139,95.097305
140,0.17471778
141,131.18898
142,0.119896814
